 20,  66, -67, -28,   7,  28, -26,  -3, 
 24,  66, -66, -23,   5,  29, -29,  -5, 
 29,  67, -66, -19,   3,  24, -28,  -8, 
 33,  68, -66, -15,   1,  16, -27, -11, 
 38,  67, -66, -11,   0,   7, -26, -13, 
 42,  62, -66,  -8,  -1,  -1, -24, -16, 
 46,  52, -66,  -5,  -1,  -5, -21, -19, 
 50,  40, -66,  -2,  -1,  -5, -18, -22, 
 53,  26, -66,   0,   0,   1, -16, -24, 
 56,  13, -65,   2,   1,   9, -13, -26, 
 59,   3, -64,   4,   3,  19, -10, -27, 
 61,  -3, -63,   5,   5,  26,  -7, -28, 
 63,  -5, -61,   5,   8,  29,  -5, -29, 
 64,  -4, -58,   2,  11,  28,  -3, -24, 
 65,  -3, -56,  -5,  13,  27,  -1, -16, 
 66,  -2, -52, -16,  16,  26,   0,  -7, 
 66,   0, -49, -29,  19,  24,   1,   1, 
 66,   3, -45, -43,  22,  21,   1,   5, 
 66,   5, -41, -55,  24,  18,   1,   5, 
 66,   9, -37, -63,  26,  16,   0,  -1, 
 66,  12, -32, -67,  27,  13,  -1,  -9, 
 66,  16, -28, -68,  28,  10,  -3, -19, 
 66,  20, -23, -67,  29,   7,  -5, -26, 
 67,  24, -19, -66,  24,   5,  -8, -29, 
 68,  29, -15, -66,  16,   3, -11, -28, 
 67,  33, -11, -66,   7,   1, -13, -27, 
 62,  38,  -8, -66,  -1,   0, -16, -26, 
 52,  42,  -5, -66,  -5,  -1, -19, -24, 
 40,  46,  -2, -66,  -5,  -1, -22, -21, 
 26,  50,   0, -66,   1,  -1, -24, -18, 
 13,  53,   2, -66,   9,   0, -26, -16, 
  3,  56,   4, -65,  19,   1, -27, -13, 
 -3,  59,   5, -64,  26,   3, -28, -10, 
 -5,  61,   5, -63,  29,   5, -29,  -7, 
 -4,  63,   2, -61,  28,   8, -24,  -5, 
 -3,  64,  -5, -58,  27,  11, -16,  -3, 
 -2,  65, -16, -56,  26,  13,  -7,  -1, 
  0,  66, -29, -52,  24,  16,   1,   0, 
  3,  66, -43, -49,  21,  19,   5,   1, 
  5,  66, -55, -45,  18,  22,   5,   1, 
  9,  66, -63, -41,  16,  24,  -1,   1, 
 12,  66, -67, -37,  13,  26,  -9,   0, 
 16,  66, -68, -32,  10,  27, -19,  -1, 
 20,  66, -67, -28,   7,  28, -26,  -3, 
 24,  66, -66, -23,   5,  29, -29,  -5, 
 29,  67, -66, -19,   3,  24, -28,  -8, 
 33,  68, -66, -15,   1,  16, -27, -11, 
 38,  67, -66, -11,   0,   7, -26, -13, 
 42,  62, -66,  -8,  -1,  -1, -24, -16, 
 46,  52, -66,  -5,  -1,  -5, -21, -19, 
 50,  40, -66,  -2,  -1,  -5, -18, -22, 
 53,  26, -66,   0,   0,   1, -16, -24, 
 56,  13, -65,   2,   1,   9, -13, -26, 
 59,   3, -64,   4,   3,  19, -10, -27, 
 61,  -3, -63,   5,   5,  26,  -7, -28, 
 63,  -5, -61,   5,   8,  29,  -5, -29, 
 64,  -4, -58,   2,  11,  28,  -3, -24, 
 65,  -3, -56,  -5,  13,  27,  -1, -16, 
 66,  -2, -52, -16,  16,  26,   0,  -7, 
 66,   0, -49, -29,  19,  24,   1,   1, 
 66,   3, -45, -43,  22,  21,   1,   5, 
 66,   5, -41, -55,  24,  18,   1,   5, 
 66,   9, -37, -63,  26,  16,   0,  -1, 
 66,  12, -32, -67,  27,  13,  -1,  -9, 
 66,  16, -28, -68,  28,  10,  -3, -19, 
 66,  20, -23, -67,  29,   7,  -5, -26, 
 67,  24, -19, -66,  24,   5,  -8, -29, 
 68,  29, -15, -66,  16,   3, -11, -28, 
 67,  33, -11, -66,   7,   1, -13, -27, 
 62,  38,  -8, -66,  -1,   0, -16, -26, 
 52,  42,  -5, -66,  -5,  -1, -19, -24, 
 40,  46,  -2, -66,  -5,  -1, -22, -21, 
 26,  50,   0, -66,   1,  -1, -24, -18, 
 13,  53,   2, -66,   9,   0, -26, -16, 
  3,  56,   4, -65,  19,   1, -27, -13, 
 -3,  59,   5, -64,  26,   3, -28, -10, 
 -5,  61,   5, -63,  29,   5, -29,  -7, 
 -4,  63,   2, -61,  28,   8, -24,  -5, 
 -3,  64,  -5, -58,  27,  11, -16,  -3, 
 -2,  65, -16, -56,  26,  13,  -7,  -1, 
  0,  66, -29, -52,  24,  16,   1,   0, 
  3,  66, -43, -49,  21,  19,   5,   1, 
  5,  66, -55, -45,  18,  22,   5,   1, 
  9,  66, -63, -41,  16,  24,  -1,   1, 
 12,  66, -67, -37,  13,  26,  -9,   0, 
 16,  66, -68, -32,  10,  27, -19,  -1, 
 20,  66, -67, -28,   7,  28, -26,  -3, 
